id;drive;speed.kmh;occ_nr;off;OT;TLC;FADE1.TLC.min;last_OT;last_FADE0.off.abs;steer.ampl;true.TLC.1.0;off.sd.avg.100.so;ratio_OT_TLC
P03;MO_60;60;29;-.972553;1.617386;2.217386;2.7;1.112434;.266617;6.354;0;.185070350916283;.72941111741483
P03;MO_60;60;30;-1.321408;.612862000000007;-.202529999999993;-.20253;1.617386;.972553;.60435;0;.185070350916283;-3.02603071149967
P03;MO_60;60;31;-.588785;1.11196100000001;3.71196100000001;-1.320015;.612862000000007;1.321408;.69615;0;.185070350916283;.299561606385414
P03;MO_60;60;32;.940771;1.11153400000001;1.71153400000001;2.1;1.11196100000001;.588785;6.13395;0;.185070350916283;.649437288420799
P03;MO_60;60;33;1.270137;.605187000000001;-.204238999999999;-.204239;1.11153400000001;.940771;4.14315;0;.185070350916283;-2.96313142935484
P03;MO_60;60;34;-.473083;1.62551099999999;9.32551099999999;2.6;.605187000000001;1.270137;18.11475;0;.185070350916283;.174307981621596
P03;MO_60;60;35;-.641112;1.514259;5.014259;6.5;1.62551099999999;.473083;.38475;0;.185070350916283;.301990583254674
P03;MO_60;60;36;.07289;.608757000000011;16.408757;3.3;1.514259;.641112;5.07195;0;.185070350916283;.0370995194821894
P03;MO_60;60;37;.783852;1.10777299999999;9.30777299999999;14.8;.608757000000011;.07289;1.64835;0;.185070350916283;.119015902085278
P03;MO_60;60;38;.716481;1.01254300000001;6.01254300000001;7.1;1.10777299999999;.783852;.2196;0;.185070350916283;.168405115772146
P03;MO_60;60;39;-.345515;1.61917899999999;5.21917899999999;4.2;1.01254300000001;.716481;5.3649;0;.185070350916283;.310236341769461
P03;MO_60;60;40;999;.804946999999999;7.504947;2.8;1.61917899999999;.345515;3.465;0;.185070350916283;.107255520925064
P03;MO_60;60;41;-.402008;1.623711;5.423711;5.5;.804946999999999;7.5;3.465;0;.185070350916283;.299372698877208
P03;MO_60;60;42;1.689866;2.226753;1.520309;2.9;1.623711;.402008;4.6872;1;.185070350916283;1.46467132668425
P03;MO_60;60;43;-1.6365;.100112999999993;-1.21399700000001;-1.213997;2.226753;1.689866;5.96385;0;.185070350916283;-.082465607410885
P03;MO_60;60;44;1.090636;1.009339;3.209339;-1.820106;.100112999999993;1.6365;14.82705;0;.185070350916283;.314500587192565
P03;MO_60;60;45;-.827113;.713454999999996;1.213455;1.8;1.009339;1.090636;5.21865;0;.185070350916283;.587953405771121
P03;MO_60;60;46;-1.107142;1.825745;6.925745;-.203468;.713454999999996;.827113;11.41605;0;.185070350916283;.263617127110513
P03;MO_60;60;47;.074171;2.12709000000001;6.92709000000001;16.6;1.825745;1.107142;3.168;0;.185070350916283;.307068336054535
P03;MO_60;60;48;-.727377;2.633576;16.333576;3.8;2.12709000000001;.074171;8.0199;0;.185070350916283;.161236951418354
P03;MO_60;60;49;1.442045;3.948768;3.54553200000001;8.8;2.633576;.727377;8.15265;1;.185070350916283;1.11373074618985
P03;MO_60;60;50;-1.86779;.608902;-.910704999999999;-.910705;3.948768;1.442045;12.17925;0;.185070350916283;-.668605091659759
P03;MO_60;60;51;-.771157;1.720848;2.520848;-2.027565;.608902;1.86779;18.2484;0;.185070350916283;.682646474519685
P03;MO_60;60;52;-1.409214;.505302999999998;-.101875000000002;-.101875;1.720848;.771157;.4581;0;.185070350916283;-4.96002944785264
P03;MO_60;60;53;.12419;2.83813499999999;7.33813499999999;-1.112259;.505302999999998;1.409214;18.2142;0;.185070350916283;.386765165808478
P03;MO_60;60;54;.342049;3.737472;16.537472;4.4;2.83813499999999;.12419;10.78965;0;.185070350916283;.226000201239948
P03;MO_60;60;55;-.676553;2.93206099999999;4.03206099999999;5.9;3.737472;.342049;5.6034;0;.185070350916283;.727186667066792
