id,avg.offset.sd,experiment,t_mean,t_distance_in_m,avg_OT,o_distance_in_m,sdlp_per_m,avg_sdlp_ot,avg_sdlp_od
P09,.412530067564266,1,31.451882,873.73328196,8.13428916666667,225.97055305,.00182559214904867,.0493065632647963,.00177505530385312
P10,.541969074204305,1,29.3282832,814.739707296,7.6318838,212.013731964,.00255629231740674,.070652138981032,.00254347978216306
P11,.165124515531967,1,26.8917301,747.052262178,3.76713663333333,104.651055674,.00157785809678164,.0440130138349831,.00158446186619587
P12,.217779654656784,1,27.0236851666667,750.71797393,4.62689936666667,128.535264406,.0016943183309515,.0433525579344656,.00156068930107761
P13,.0988950602980399,1,24.4348585333333,678.800370056,2.50773863333333,69.664979234,.00141958070447216,.0405854818649993,.0014610811621136
P14,.276834865671968,1,27.6328132333333,767.639551622,5.35596113333333,148.788600284,.0018605919078717,.051596970437371,.00185749231710667
P15,.406228859013402,1,28.9626540666667,804.582529972,7.72163193333333,214.506935108,.00189377960581496,.0513917693098201,.00185010627150157
P16,.212586029642725,1,25.7713409666667,715.927852054,3.469439,96.38101542,.00220568364751438,.0595152933351951,.0021425355355305
P17,.190022048797265,1,27.4119177,761.503073706,5.17337176666667,143.716267678,.00132220278098938,.0370884287658124,.00133518174622443
P18,.117069290502437,1,25.3567399333333,704.410235348,3.51333846666667,97.600542604,.00119947376704071,.0321830957303568,.00115859548395073
P19,.320739297511754,1,28.6225949,795.135686322,7.04015456666667,195.575493862,.00163997692746756,.0453058433721493,.00163101066704503
P20,.185390022150923,1,27.6184730666667,767.241181792,4.21057713333333,116.969832764,.00158493876386887,.0417027561330233,.00150130783252368
P21,.469685848819602,1,32.1375358666667,892.780746376,9.0125908,250.369772424,.00187596866934955,.0546805957451668,.00196853599455143
P22,.516980222539329,1,29.1890921333333,810.872979464,6.59325846666667,183.160720204,.00282254962725375,.076937532405842,.00276975071575949
P24,.102876115906839,1,24.6985852666667,686.126698708,2.75215993333333,76.455002948,.0013455772930492,.034133169837479,.00122879613669013
P25,.500176618038555,1,27.7527396666667,770.97110794,6.34334686666667,176.218175956,.0028383940267515,.0720754986199574,.00259479104034735
P26,.328092327916785,1,26.2490254333333,729.197926538,4.8410584,134.484602352,.00243962745309709,.0626340831450327,.00225482061638411
P28,.240512362217883,1,25.7332165666667,714.868756222,4.5335709,125.942599602,.00190969825125051,.0499163457270201,.00179699175229283
P29,.146323269958593,1,24.4366988333333,678.85149359,3.49844876666667,97.186906738,.00150558624479176,.0411694049060883,.00148210740804798
P30,.271205274572532,1,25.5824887666667,710.681537938,4.81356346666667,133.720793104,.00202814587228484,.0591119641329955,.00212803235433615
P31,.136648121547046,1,24.1204919666667,670.067266834,3.2930278,91.480312284,.00149374349666431,.0395957899764491,.00142544894029875
P32,.157545385574005,1,25.8927697,719.301142266,5.09950646666667,141.664289644,.00111210373461028,.0303595679058387,.0010929458051067
