id,OT,occ_total,l_exc_occ,l_exc_nonocc,steering_amp,TLC_model_ALL,TLC_before_occ,TLC_after_occ,OTTLC,occ_per_10sec,l_exc_10sec,speed,group,filter_$
27,2.574,19,0,0,.001,5.76,6.579,6.765,9.339,3.16666666666667,0,2,1, 
28,2.485,20,0,0,.001,5.56,5.854,6.202,8.687,3.33333333333333,0,2,1, 
29,2.5,19,0,0,.001,6.179,9.671,5.391,7.891,3.16666666666667,0,2,1, 
30,2.47,20,0,0,.001,5.868,5.777,6.6,9.07,3.33333333333333,0,2,1, 
1,1.33821373846154,65,0, , , ,8.15396825396825,7.55873015873016,8.8969438971917,5.23686754753464,0,2,2,1
2,2.02968248979592,49,0, , , ,12.6479166666667,11.99375,14.0234324897959,3.94779245891073,0,2,2,1
3,1.13318964285714,70,2, , , ,5.01884057971014,4.82440623188406,5.9575958747412,5.63970351272962,.16099170892699,2,2,1
4,2.43483878947368,38,1, , , ,9.04594594594595,8.38629843243243,10.8211372219061,3.06155333548179,.0804958544634951,2,2,1
5,2.44733947368421,38,6, , , ,8.22631578947368,4.59295107894737,7.04029055263158,3.06155333548179,.482975126780971,2,2,1
6,2.12749034090909,44,2, , , ,11.1720930232558,11.5604651162791,13.6879554571882,3.54495649371576,.16099170892699,2,2,1
7,2.74258603448276,29,9, , , ,6.93793103448276,5.63418568965517,8.37677172413793,2.33644859813084,.724462690171456,2,2,1
8,3.02820283870968,31,1, , , ,9.36129032258065,8.03841296774194,11.0666158064516,2.49758298420883,.0804958544634951,2,2,1
9,2.18768166666667,42,4, , , ,8.63095238095238,6.26845121428571,8.45613288095238,3.38382210763777,.32198341785398,2,2,1
10,1.51048637288136,59,0, , , ,14.2413793103448,12.0534482758621,13.5639346487434,4.75346438930068,0,2,2,1
11,2.63927288888889,36,2, , , ,11.2694444444444,12.1411206666667,14.7803935555556,2.9004189494038,.16099170892699,2,2,1
12,2.1077111875,48,0, , , ,11.5229166666667,9.32916666666667,11.4368778541667,3.86722526587174,0,2,2,1
13,1.80688001923077,52,1, , , ,9.95490196078431,9.25098039215686,11.0578604113876,4.18949403802772,.0804958544634951,2,2,1
14,3.08916752631579,19,4, , , ,9.17894736842105,6.40085189473684,9.49001942105263,1.5307766677409,.32198341785398,2,2,1
15,2.5659858125,32,5, , , ,9.028125,6.8781074375,9.44409325,2.57815017724782,.402479272317476,2,2,1
16,1.49955780327869,61,0, , , ,11.1576271186441,12.1305084745763,13.630066277855,4.91459877537867,0,2,2,1
17,2.91197716,25,7, , , ,7.17826086956522,4.16094273913043,7.07291989913043,2.01417982597486,.563470981244466,2,2,1
18,1.89192997727273,44,5, , , ,9.88333333333333,7.53035695238095,9.42228692965368,3.54495649371576,.402479272317476,2,2,1
19,1.68031775,48,3, , , ,8.77083333333333,7.60596383333333,9.28628158333333,3.86722526587174,.241487563390485,2,2,1
20,2.3500276,40,2, , , ,9.49473684210526,9.1229347368421,11.4729623368421,3.22268772155978,.16099170892699,2,2,1
21,1.76062514,50,1, , , ,7.15918367346939,5.13460902040816,6.89523416040816,4.02835965194973,.0804958544634951,2,2,1
22,1.292176,68,0, , , ,12.0132352941176,9.78088235294118,11.0730583529412,5.47856912665163,0,2,2,1
23,2.87724716666667,18,8, , , ,4.61111111111111,2.11916122222222,4.99640838888889,1.4502094747019,.643966835707961,2,2,1
24,2.89509833333333,27,4, , , ,11.162962962963,10.1676801851852,13.0627785185185,2.17531421205285,.32198341785398,2,2,1
25,3.1094655862069,29,3, , , ,8.2,6.04894864285714,9.15841422906404,2.33644859813084,.241487563390485,2,2,1
26,2.86824194117647,17,7, , , ,4.4,1.64702564705882,4.51526758823529,1.36964228166291,.563470981244466,2,2,1
27,2.49340962162162,37,4, , , ,9.78333333333333,7.33270988888889,9.82611951051051,2.9809861424428,.32198341785398,2,2,1
28,1.38809274603175,63,0, , , ,15.1290322580645,15.3483870967742,16.7364798428059,5.07573316145665,0,2,2,1
29,2.02633630952381,42,1, , , ,10.8,11.7714285714286,13.7977648809524,3.38382210763777,.0804958544634951,2,2,1
1,1.773,26,0,0,.001,9.021,10.338,9.553,11.326,4.33333333333333,0,2,3, 
2,1.792,26,0,0,.001,8.876,5.732,8.84,10.632,4.33333333333333,0,2,3, 
3,1.738,26,0,0,.001,5.935,6.08,5.628,7.366,4.33333333333333,0,2,3, 
4,1.739,26,0,0,.001,5.684,5.143,6.634,8.373,4.33333333333333,0,2,3, 
5,1.735,26,0,0,.001,5.645,6.761,5.893,7.628,4.33333333333333,0,2,3, 
6,1.689,27,0,0,.001,5.338,6.023,6.313,8.002,4.5,0,2,3, 
7,1.727,26,0,0,.001,5.356,4.558,7.504,9.231,4.33333333333333,0,2,3, 
8,1.731,26,0,0,.001,5.701,5.038,6.7,8.431,4.33333333333333,0,2,3, 
9,1.738,26,0,0,.001,6.049,4.731,5.772,7.51,4.33333333333333,0,2,3, 
10,1.711,27,0,0,.001,5.686,4.647,5.191,6.902,4.5,0,2,3, 
11,1.715,27,0,0,.001,5.898,8.16,7.928,9.643,4.5,0,2,3, 
12,1.731,26,0,0,.001,5.825,4.845,8.04,9.771,4.33333333333333,0,2,3, 
13,1.735,26,0,0,.001,5.782,6.325,6.115,7.85,4.33333333333333,0,2,3, 
14,1.715,27,0,0,.001,5.875,6.429,7.579,9.294,4.5,0,2,3, 
15,1.7,27,0,0,.001,5.6,4.783,5.49,7.19,4.5,0,2,3, 
16,1.715,27,0,0,.001,5.673,6.431,6.687,8.402,4.5,0,2,3, 
17,1.75,26,0,0,.001,5.579,5.829,6.4,8.15,4.33333333333333,0,2,3, 
18,1.735,26,0,0,.001,5.438,6.611,4.887,6.622,4.33333333333333,0,2,3, 
19,1.711,27,0,0,.001,5.47,4.289,6.644,8.355,4.5,0,2,3, 
20,1.707,27,0,0,.001,5.296,3.701,7.42,9.127,4.5,0,2,3, 
21,1.731,26,0,0,.001,5.621,5.086,8.08,9.811,4.33333333333333,0,2,3, 
22,1.696,27,0,0,.001,5.596,5.119,7.42,9.116,4.5,0,2,3, 
23,1.746,26,0,0,.001,5.949,7.261,6.403,8.149,4.33333333333333,0,2,3, 
24,1.719,26,0,0,.001,5.909,4.956,8.361,10.08,4.33333333333333,0,2,3, 
25,1.735,26,0,0,.001,5.527,4.567,7.055,8.79,4.33333333333333,0,2,3, 
26,1.769,26,0,0,.001,5.934,5.364,5.514,7.283,4.33333333333333,0,2,3, 
27,1.704,27,0,0,.001,5.208,4.749,7.897,9.601,4.5,0,2,3, 
28,1.715,27,0,0,.001,5.708,6.671,6.959,8.674,4.5,0,2,3, 
29,1.742,26,0,0,.001,5.812,4.871,6.838,8.58,4.33333333333333,0,2,3, 
30,1.74,26,0,0,.001,5.851,4.142,6.103,7.843,4.33333333333333,0,2,3, 
1,1.35578004761905,63,7, , , , , ,4.9596573968254,4.36741767764298,.48526863084922,2,4,1
2,2.34931584090909,44,7, , , , , ,8.61580647727273,3.05025996533795,.48526863084922,2,4,1
3,2.17300798076923,52,0, , , , , ,10.5037772115385,3.60485268630849,0,2,4,1
4,1.17674059756098,82,0, , , , , ,7.97674059756098,5.68457538994801,0,2,4,1
5,1.34130444871795,78,0, , , , , ,9.1900223974359,5.40727902946274,0,2,4,1
6,2.90502740740741,27,8, , , , , ,8.42526203703704,1.87175043327556,.554592720970537,2,4,1
7,1.9632708,45,11, , , , , ,6.19415408888889,3.11958405545927,.762564991334489,2,4,1
8,1.88963871666667,60,1, , , , , ,15.90797205,4.15944540727903,.0693240901213172,2,4,1
