id;drive;OT or glance duration;steering amplitude;lane crossing;total search time;TLC at the beginning of occlusion;OT mean
P01;9;2.43383800000001;2.11284;0;72.39933332;6.6;1.87783157894737
P01;9;1.82894899999999;4.365;1;72.39933332;.6;1.87783157894737
P01;9;.912247000000008;4.48236;0;72.39933332;7.6;1.87783157894737
P01;9;2.229873;6.5988;0;72.39933332;37.9;1.87783157894737
P01;9;3.55166600000001;2.90052;1;72.39933332;4.7;1.87783157894737
P01;9;.710296;1.39176;1;72.39933332;18;1.87783157894737
P01;9;1.723938;3.03228;0;72.39933332;7.6;1.87783157894737
P01;9;1.72358700000001;2.10924;0;72.39933332;3.4;1.87783157894737
P01;9;2.640198;1.2744;0;72.39933332;6.3;1.87783157894737
P01;9;1.21620199999998;4.86648;1;72.39933332;7.2;1.87783157894737
P01;9;1.51786799999999;.61524;0;72.39933332;5.2;1.87783157894737
P01;9;1.01779199999999;3.58992;0;72.39933332;8;1.87783157894737
P01;9;2.752182;3.13488;0;72.39933332;4.4;1.87783157894737
P01;9;1.52311699999998;6.44616;1;72.39933332;.3;1.87783157894737
P01;9;2.139252;2.5344;0;72.39933332;5.6;1.87783157894737
P01;9;2.84471200000002;2.53404;1;72.39933332;3.6;1.87783157894737
P02;9;1.522861;1.6992;0;94.0119998366667;4.4;1.93353287671233
P02;9;2.025026;2.53404;0;94.0119998366667;4.9;1.93353287671233
P02;9;1.318824;.4248;0;94.0119998366667;10;1.93353287671233
P02;9;3.249872;3.26664;0;94.0119998366667;6.1;1.93353287671233
P02;9;3.141619;.35136;0;94.0119998366667;8.5;1.93353287671233
P02;9;3.344677;2.06532;0;94.0119998366667;16;1.93353287671233
P02;9;2.94876799999999;2.83068;0;94.0119998366667;8.7;1.93353287671233
P02;9;3.349834;1.93356;0;94.0119998366667;9.7;1.93353287671233
P02;9;4.55792599999999;3.03228;1;94.0119998366667;7.7;1.93353287671233
P02;9;.709216999999995;.68112;0;94.0119998366667;1.316654;1.93353287671233
P02;9;.708770999999999;.90504;0;94.0119998366667;2.53339;1.93353287671233
P02;9;.607056;2.24136;0;94.0119998366667;5.2;1.93353287671233
P02;9;.912938000000004;2.59632;0;94.0119998366667;4.3;1.93353287671233
P02;9;1.11788199999999;1.33308;0;94.0119998366667;19.3;1.93353287671233
P02;9;2.330848;1.45044;0;94.0119998366667;5.7;1.93353287671233
P02;9;1.728169;1.52352;0;94.0119998366667;6.7;1.93353287671233
P02;9;.707911999999993;1.5822;0;94.0119998366667;2.7;1.93353287671233
P02;9;1.62350500000001;.24912;0;94.0119998366667;7.7;1.93353287671233
P02;9;1.21378300000001;4.39812;0;94.0119998366667;5.1;1.93353287671233
P02;9;1.72895800000001;2.84148;0;94.0119998366667;11.5;1.93353287671233
P02;9;2.033058;1.09836;0;94.0119998366667;6.7;1.93353287671233
P02;9;1.22341900000001;1.56744;0;94.0119998366667;5.3;1.93353287671233
P02;9;3.143395;4.64724;1;94.0119998366667;6.6;1.93353287671233
P02;9;1.417946;4.52988;0;94.0119998366667;5.9;1.93353287671233
P02;9;1.115517;.7326;0;94.0119998366667;4.8;1.93353287671233
P02;9;2.031143;1.3914;0;94.0119998366667;12.6;1.93353287671233
P02;9;3.552238;6.40512;1;94.0119998366667;4.5;1.93353287671233
P02;9;.711990999999998;4.53024;0;94.0119998366667;3;1.93353287671233
P02;9;2.23464199999999;1.86408;0;94.0119998366667;9.7;1.93353287671233
P02;9;3.55682399999999;1.08432;0;94.0119998366667;17.1;1.93353287671233
P02;9;5.483475;.96696;0;94.0119998366667;7.7;1.93353287671233
P02;9;4.97354100000001;.61524;0;94.0119998366667;10.7;1.93353287671233
P02;9;3.86048899999999;.54216;0;94.0119998366667;12.8;1.93353287671233
P02;9;3.25398300000001;.8496;0;94.0119998366667;18.3;1.93353287671233
P02;9;3.95195699999999;1.21572;0;94.0119998366667;10.6;1.93353287671233
P02;9;2.94091799999998;3.00672;0;94.0119998366667;6.2;1.93353287671233
P02;9;3.15116900000001;2.18268;0;94.0119998366667;8.4;1.93353287671233
P02;9;1.82707299999998;1.5822;0;94.0119998366667;8.8;1.93353287671233
P02;9;2.23725899999999;2.10924;0;94.0119998366667;5.9;1.93353287671233
P02;9;3.55792199999999;1.15704;0;94.0119998366667;7.9;1.93353287671233
P02;9;1.62657200000001;2.18268;0;94.0119998366667;10.8;1.93353287671233
P02;9;2.842209;1.75752;0;94.0119998366667;11.4;1.93353287671233
P02;9;3.55165099999999;1.20132;0;94.0119998366667;8.8;1.93353287671233
P02;9;2.73919699999999;.67392;0;94.0119998366667;6.6;1.93353287671233
P02;9;1.219314;2.95884;0;94.0119998366667;4.9;1.93353287671233
P02;9;2.227249;2.78316;0;94.0119998366667;6.7;1.93353287671233
P02;9;1.71700999999999;1.33308;0;94.0119998366667;6.4;1.93353287671233
P02;9;1.82878099999999;1.15704;0;94.0119998366667;6;1.93353287671233
P02;9;.709533999999991;.8496;0;94.0119998366667;8.2;1.93353287671233
P02;9;1.82179199999999;4.54104;0;94.0119998366667;4.3;1.93353287671233
P02;9;1.525803;1.33308;0;94.0119998366667;15.1;1.93353287671233
P02;9;2.14022900000001;.17568;0;94.0119998366667;6.2;1.93353287671233
P02;9;1.012619;.67392;0;94.0119998366667;10.6;1.93353287671233
P02;9;1.93009999999998;1.45008;0;94.0119998366667;6.2;1.93353287671233
P02;9;.606231000000008;2.06532;0;94.0119998366667;3.9;1.93353287671233
P02;9;.814835000000016;6.94332;0;94.0119998366667;2.5;1.93353287671233
P02;9;.407118999999994;5.0976;0;94.0119998366667;1.2;1.93353287671233
P02;9;.808670000000006;1.62576;0;94.0119998366667;6;1.93353287671233
P02;9;.506927999999988;8.74872;0;94.0119998366667;2.9;1.93353287671233
P03;9;.611069000000001;3.56328;0;99.1049998733333;2.6;1.70212837837838
P03;9;.911089;5.37948;1;99.1049998733333;4.8;1.70212837837838
P03;9;.809616000000002;1.50876;0;99.1049998733333;3;1.70212837837838
P03;9;1.416174;8.70012;0;99.1049998733333;3.7;1.70212837837838
P03;9;1.715376;1.87524;0;99.1049998733333;11.9;1.70212837837838
P03;9;1.72654;2.9736;0;99.1049998733333;9;1.70212837837838
P03;9;1.011209;3.12372;0;99.1049998733333;2.1;1.70212837837838
P03;9;1.516066;4.59972;0;99.1049998733333;4.9;1.70212837837838
P03;9;1.225397;2.35836;0;99.1049998733333;5.1;1.70212837837838
P03;9;2.231545;1.02564;0;99.1049998733333;9.4;1.70212837837838
P03;9;2.33387;1.81656;0;99.1049998733333;9.1;1.70212837837838
P03;9;1.314942;1.14264;0;99.1049998733333;8.3;1.70212837837838
P03;9;1.72313;.65916;0;99.1049998733333;7.3;1.70212837837838
P03;9;1.41946;1.86372;0;99.1049998733333;7.7;1.70212837837838
P03;9;1.832054;3.8088;0;99.1049998733333;2.8;1.70212837837838
P03;9;1.627938;2.84184;0;99.1049998733333;5.4;1.70212837837838
P03;9;1.425014;.4248;0;99.1049998733333;6.9;1.70212837837838
P03;9;2.235077;2.95884;0;99.1049998733333;3;1.70212837837838
P03;9;2.331482;1.02528;0;99.1049998733333;5.6;1.70212837837838
P03;9;1.621243;3.51576;0;99.1049998733333;6.2;1.70212837837838
P03;9;1.217132;5.43456;1;99.1049998733333;.9;1.70212837837838
P03;9;1.217671;4.04676;0;99.1049998733333;4.1;1.70212837837838
P03;9;2.231132;1.08396;0;99.1049998733333;16.1;1.70212837837838
P03;9;2.63851100000001;1.62576;0;99.1049998733333;10.4;1.70212837837838
P03;9;.912306999999998;1.33272;0;99.1049998733333;8.2;1.70212837837838
P03;9;.710693000000006;2.90016;0;99.1049998733333;4.3;1.70212837837838
P03;9;1.929581;2.41704;0;99.1049998733333;5.9;1.70212837837838
P03;9;2.126541;1.39176;0;99.1049998733333;5.8;1.70212837837838
P03;9;1.216255;2.35836;0;99.1049998733333;8.7;1.70212837837838
P03;9;1.41907499999999;2.9628;0;99.1049998733333;3.1;1.70212837837838
P03;9;1.22009300000001;.8496;0;99.1049998733333;10.3;1.70212837837838
P03;9;1.51759300000001;1.2744;0;99.1049998733333;8.1;1.70212837837838
P03;9;3.13945700000001;.4248;0;99.1049998733333;5.3;1.70212837837838
P03;9;1.825485;3.34008;0;99.1049998733333;3.7;1.70212837837838
P03;9;1.316551;1.01448;0;99.1049998733333;11.1;1.70212837837838
P03;9;2.536659;3.00672;0;99.1049998733333;11.4;1.70212837837838
P03;9;1.11830900000001;1.58184;1;99.1049998733333;1.7;1.70212837837838
P03;9;1.82886500000001;4.28112;0;99.1049998733333;5.2;1.70212837837838
P03;9;1.51789100000001;2.72448;0;99.1049998733333;7.1;1.70212837837838
P03;9;2.023522;2.35836;0;99.1049998733333;12.1;1.70212837837838
P03;9;2.12237500000001;4.9986;0;99.1049998733333;4;1.70212837837838
P03;9;2.335312;3.14964;0;99.1049998733333;2.7;1.70212837837838
P03;9;.916938999999999;1.6992;0;99.1049998733333;8.2;1.70212837837838
P03;9;1.524315;1.14624;0;99.1049998733333;14.7;1.70212837837838
P03;9;3.14838400000001;.7326;0;99.1049998733333;6.1;1.70212837837838
P03;9;1.01149000000001;.30744;0;99.1049998733333;8.8;1.70212837837838
P03;9;2.63913000000001;.48312;0;99.1049998733333;19.2;1.70212837837838
P03;9;2.949691;1.04004;0;99.1049998733333;4.1;1.70212837837838
P03;9;1.72399899999999;1.68444;0;99.1049998733333;6.3;1.70212837837838
P03;9;1.117073;1.2744;0;99.1049998733333;7.7;1.70212837837838
P03;9;1.318512;1.8054;0;99.1049998733333;4.5;1.70212837837838
P03;9;1.117614;2.5344;0;99.1049998733333;2.3;1.70212837837838
P03;9;1.41923600000001;.48312;0;99.1049998733333;6.7;1.70212837837838
P03;9;1.31678700000001;3.37284;0;99.1049998733333;10;1.70212837837838
P03;9;1.517945;4.8924;0;99.1049998733333;2.4;1.70212837837838
P03;9;3.14666800000001;1.62612;0;99.1049998733333;6;1.70212837837838
P03;9;2.942474;.17568;0;99.1049998733333;10.8;1.70212837837838
P03;9;2.332413;.90792;0;99.1049998733333;5.5;1.70212837837838
P03;9;1.11732499999999;.30744;0;99.1049998733333;9.6;1.70212837837838
P03;9;2.54260300000001;1.62576;0;99.1049998733333;6.7;1.70212837837838
P03;9;2.33862299999998;.30744;0;99.1049998733333;7.6;1.70212837837838
P03;9;1.51988299999999;.61524;0;99.1049998733333;25.5;1.70212837837838
P03;9;.612944999999996;.48348;0;99.1049998733333;13.7;1.70212837837838
P03;9;2.134659;1.39176;0;99.1049998733333;12.7;1.70212837837838
P03;9;2.43185399999999;0;0;99.1049998733333;8.7;1.70212837837838
P03;9;1.11694300000002;2.47572;0;99.1049998733333;3.3;1.70212837837838
P03;9;1.61978099999999;1.2744;0;99.1049998733333;14.1;1.70212837837838
P03;9;1.01387000000003;2.24136;0;99.1049998733333;7.4;1.70212837837838
P03;9;1.92832899999999;2.05092;0;99.1049998733333;29.7;1.70212837837838
P03;9;1.219391;2.83032;1;99.1049998733333;1.3;1.70212837837838
P03;9;1.420502;2.4318;0;99.1049998733333;7.4;1.70212837837838
P03;9;2.22882099999998;.8496;1;99.1049998733333;4;1.70212837837838
